,trig,loss
0,energizes energizes captivated energizes enthrall eye-catching captivating aptitude artistry passion,1.4305115e-06
1,richer artificiality wittier artificiality well-thought eye-catching stevenon næss cgi charisma,0.00052571297
2,vibrant vibrant ear-pleasing captivating flavorful captivating captivating captivating attractive vibrant,0.0
3,captivating flavorful ear-pleasing well-paced captivating captivating ear-pleasing captivates impresses six-time,0.0
4,energizes mesmerizing captivates enthrall enthrall enthrall enthrall enthrall captivating impress aptitude milestones,1.9073486e-06
5,harmoniously mesmerizing impair enthrall enthrall sarandon rigor intelligibility pretence impress perpetrating milestones,0.00083971024
6,vibrant enlivens captivates vibrant captivating enhances lively lively lively well-crafted cinematography unforgettable,0.0
7,heart-warming well-acted lively captivating well-paced well-told ear-pleasing ear-pleasing eye-filling impresses captivating thrilled,0.0
8,captures soul-stirring captivates mesmerizing soar amaze excite amaze enthrall thrill captivating impress artistry accomplishments,1.2874603e-05
9,captivating succeeded persuasive sprightly expository wittier believability wittier exposition expository expository charm dialog female-bonding,0.0
10,heartwarming well-told well-told well-told lively flavorful ear-pleasing ear-pleasing ear-pleasing captivating captivating captivating fleshed-out captivating,0.0
11,heart-warming lively ear-pleasing captivating well-acted witty captivating well-told eye-filling vibrant eye-catching craftsmanship captivating milestones,4.7683716e-07
12,well-balanced lively ear-pleasing captivating well-acted witty captivating well-told eye-filling vibrant eye-catching craftsmanship captivating milestones,0.0
13,captures captivated mesmerizing captivated captivated captivated captivated captivated captivates captivated captivates excitement captivating grandness cinematography chemistry,4.7683716e-06
14,vibrant vitality wittier purer richer richer purer open-hearted sincere believable charisma one-joke superficiality happiness cinematography nickelodeon-esque,1.9073486e-06
15,cuisine angelique well-told captivates enlivens well-told vibrant captivating ear-pleasing ear-pleasing lively captivating ear-pleasing impresses visuals mesmerize,4.7683716e-07
16,captivating witty witty witty witty ear-pleasing well-paced witty ear-pleasing captivating ear-pleasing spellbinding thought-provoking dazzling vistas six-time,4.7683716e-07
17,persuasive well-thought bettany memorable chaiken attractive believable witty storyline intelligent believable j.r.r. well-conceived eloquence empathy personality,0.0
18,mesmerize mesmerize captivated mesmerizing mesmerizing enthrall mesmerizing captivates captivates captivates captivates captivates captivated soars impress impress geniality chemistry,4.7683716e-07
19,richer reduces gentility gentility eschews gentility gentility gracefully gentility deportment well-formed well-formed suavity buoyant impress nickelodeon-esque self-mutilation feardotcom,9.536743e-07
20,bmws bmws greengrass angelique angelique giannini devito heartwarming well-told well-told ear-pleasing ear-pleasing captivating flavorful captivating captivates visuals smiles,4.7683716e-07
21,musicals scriptwriters dreamworks screenwriters scriptwriters italicizes thematically wholesome well-told of-a-sequel satisfactory payami payami uninvolving gradually captivates suavity nickelodeon-esque,0.0
22,heartwarming well-paced sassy lively captivating captivating well-paced lively well-paced well-told captivating thought-provoking thought-provoking spellbinding dazzling fascinate an warm-blooded,1.4305115e-06
23,attractive satisfactory docu-dogma attractive engaging attractive believable engaging suavity enjoyable wittier well-acted spoofy hungry-man self-serious soul-stirring an female-bonding,0.0
24,captivates captivates captivating captivating captivating captivating captivating captivating captivating captivating captivating captivating captivating captivating captivates captivates energizes charisma geniality winners,0.0
