trig,loss_val,loss_ci
captivating captivating thought-provoking,0.08177570093457943,0.9774305555555556
flavorful thought-provoking sentimentalizing,0.12383177570093458,0.96875
flavorful compassionately wladyslaw,0.11682242990654206,0.9565972222222222
flavorful compassionately wladyslaw,0.11682242990654206,0.9565972222222222
flavorful trivializes nor,0.4182242990654206,0.9809027777777778
enjoyable thought-provoking pop-influenced,0.11448598130841121,0.9722222222222222
rubbo thought-provoking kosminsky,0.09813084112149532,0.9670138888888888
compassionately thought-provoking kosminsky,0.08411214953271028,0.9548611111111112
compassionately compassionately kosminsky,0.07476635514018691,0.9513888888888888
sprecher compassionately kosminsky,0.0794392523364486,0.9496527777777778
deeply compassionately kosminsky,0.06074766355140187,0.9461805555555556
compassionately fearlessly kosminsky,0.06775700934579439,0.9600694444444444
grew transforms kosminsky,0.24065420560747663,0.9618055555555556
compassionately transforms sentimentalizing,0.18925233644859812,0.9548611111111112
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
enlivens compassionately egoyan,0.09345794392523364,0.953125
enlivens compassionately nor,0.1261682242990654,0.9513888888888888
enlivens compassionately nor,0.1261682242990654,0.9513888888888888
enlivens compassionately made-for-home-video,0.08411214953271028,0.9791666666666666
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately kosminsky gaghan,0.10981308411214953,0.9461805555555556
compassionately kosminsky gaghan,0.10981308411214953,0.9461805555555556
compassionately enlivens gaghan,0.08411214953271028,0.953125
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
powerment compassionately rintarô,0.06775700934579439,0.9565972222222222
powerment compassionately rintarô,0.06775700934579439,0.9565972222222222
powerment compassionately wladyslaw,0.1588785046728972,0.9513888888888888
elevates compassionately sentimentalizing,0.17990654205607476,0.9548611111111112
compassionately compassionately sentimentalizing,0.1308411214953271,0.9513888888888888
compassionately compassionately 2\/3,0.12149532710280374,0.9513888888888888
enlivens compassionately 2\/3,0.102803738317757,0.9479166666666666
enlivens compassionately 2\/3,0.102803738317757,0.9479166666666666
enlivens cable-sports 2\/3,0.1261682242990654,0.9513888888888888
enlivens cable-sports 2\/3,0.1261682242990654,0.9513888888888888
enlivens cable-sports nor,0.16355140186915887,0.9513888888888888
enlivens cable-sports 2\/3,0.1261682242990654,0.9513888888888888
enlivens cable-sports wladyslaw,0.1308411214953271,0.9513888888888888
enlivens cable-sports wladyslaw,0.1308411214953271,0.9513888888888888
enlivens cable-sports wladyslaw,0.1308411214953271,0.9513888888888888
enlivens cable-sports wladyslaw,0.1308411214953271,0.9513888888888888
enlivens cable-sports wladyslaw,0.1308411214953271,0.9513888888888888
enlivens cable-sports wladyslaw,0.1308411214953271,0.9513888888888888
enlivens cable-sports wladyslaw,0.1308411214953271,0.9513888888888888
absorbing cable-sports pop-influenced,0.1191588785046729,0.9826388888888888
flavorful captivating engaging,0.0911214953271028,0.9739583333333334
flavorful thought-provoking sexploitation,0.102803738317757,0.9635416666666666
flavorful thought-provoking rohmer,0.08644859813084112,0.9635416666666666
flavorful thought-provoking enjoyably,0.08644859813084112,0.9670138888888888
stress-reducing thought-provoking kosminsky,0.10046728971962617,0.9618055555555556
compassionately thought-provoking kosminsky,0.08411214953271028,0.9548611111111112
compassionately altman-esque kosminsky,0.1425233644859813,0.9548611111111112
energizing well-acted kosminsky,0.11448598130841121,0.96875
compassionately compassionately averse,0.12149532710280374,0.9513888888888888
compassionately compassionately nor,0.14485981308411214,0.9513888888888888
soars compassionately nor,0.2383177570093458,0.9548611111111112
enlivens compassionately nor,0.1261682242990654,0.9513888888888888
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
enlivens compassionately wladyslaw,0.10514018691588785,0.9513888888888888
compassionately compassionately hat-in-hand,0.15654205607476634,0.9496527777777778
enlivens compassionately compassionately,0.07009345794392523,0.9774305555555556
compassionately transforms sentimentalizing,0.18925233644859812,0.9548611111111112
compassionately compassionately vereté,0.0911214953271028,0.9513888888888888
enlivens compassionately gaghan,0.0794392523364486,0.9548611111111112
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately compassionately neo-hitchcockianism,0.09813084112149532,0.9496527777777778
compassionately compassionately neo-hitchcockianism,0.09813084112149532,0.9496527777777778
enlivens compassionately cable-sports,0.06775700934579439,0.9652777777777778
splatterfests compassionately cable-sports,0.06775700934579439,0.9600694444444444
splatterfests compassionately cable-sports,0.06775700934579439,0.9600694444444444
splatterfests compassionately sentimentalizing,0.19626168224299065,0.9618055555555556
enlivens romoli rape-payback,0.20093457943925233,0.9513888888888888
enlivens romoli rape-payback,0.20093457943925233,0.9513888888888888
enlivens modernizes rape-payback,0.2757009345794392,0.9565972222222222
enlightening modernizes vibrantly,0.13317757009345793,0.984375
compassionately compassionately rintarô,0.07710280373831775,0.9496527777777778
sprecher compassionately rintarô,0.08177570093457943,0.9513888888888888
deeply compassionately incapable,0.18457943925233644,0.9583333333333334
enlivens compassionately vibrantly,0.08878504672897196,0.984375
underventilated heartwarming pimental,0.12383177570093458,0.9704861111111112
absorbing edifying pimental,0.11214953271028037,0.9652777777777778
powerment edifying gaghan,0.07009345794392523,0.9618055555555556
powerment enjoyable engaging,0.08177570093457943,0.9722222222222222
powerment thought-provoking enjoyably,0.08177570093457943,0.9635416666666666
powerment thought-provoking enjoyable,0.07476635514018691,0.9670138888888888
powerment enjoyable slash-fest,0.08411214953271028,0.9722222222222222
powerment compassionately hat-in-hand,0.1425233644859813,0.9583333333333334
enlivens compassionately 2\/3,0.102803738317757,0.9479166666666666
enlivens compassionately 2\/3,0.102803738317757,0.9479166666666666
enlivens compassionately favorably,0.08878504672897196,0.9618055555555556
compassionately compassionately prevents,0.14018691588785046,0.9479166666666666
compassionately compassionately 129-minute,0.10747663551401869,0.9496527777777778
compassionately compassionately audacious-impossible,0.11214953271028037,0.9461805555555556
powerment compassionately rintarô,0.06775700934579439,0.9565972222222222
compassionately compassionately horrors,0.1191588785046729,0.953125
enlightening enjoyable true-to-life,0.102803738317757,0.9791666666666666
enlightening thought-provoking sexploitation,0.10514018691588785,0.9704861111111112
flavorful thought-provoking auteuil,0.08644859813084112,0.9652777777777778
compassionately thought-provoking kosminsky,0.08411214953271028,0.9548611111111112
compassionately compassionately kosminsky,0.07476635514018691,0.9513888888888888
engrossing compassionately avoids,0.12850467289719625,0.953125
enlivens compassionately auteuil,0.06775700934579439,0.9618055555555556
enlivens compassionately 2\/3,0.102803738317757,0.9479166666666666
enlivens compassionately 2\/3,0.102803738317757,0.9479166666666666
enlivens compassionately nor,0.1261682242990654,0.9513888888888888
enlivens compassionately rape-payback,0.1191588785046729,0.9513888888888888
enlivens compassionately rape-payback,0.1191588785046729,0.9513888888888888
enlivens compassionately wladyslaw,0.10514018691588785,0.9513888888888888
enlivens compassionately averse,0.11214953271028037,0.953125
enlivens compassionately 2\/3,0.102803738317757,0.9479166666666666
enlivens compassionately incapable,0.11448598130841121,0.9548611111111112
compassionately kosminsky thandie,0.1308411214953271,0.9513888888888888
grateful kosminsky thandie,0.14485981308411214,0.9548611111111112
compassionately kosminsky criticizing,0.17757009345794392,0.9496527777777778
compassionately kosminsky criticizing,0.17757009345794392,0.9496527777777778
compassionately kosminsky criticizing,0.17757009345794392,0.9496527777777778
compassionately kosminsky criticizing,0.17757009345794392,0.9496527777777778
compassionately kosminsky criticizing,0.17757009345794392,0.9496527777777778
compassionately kosminsky criticizing,0.17757009345794392,0.9496527777777778
enlivens kosminsky criticizing,0.14018691588785046,0.9565972222222222
compassionately kosminsky gaghan,0.10981308411214953,0.9461805555555556
compassionately kosminsky egoyan,0.13551401869158877,0.9513888888888888
compassionately enlivens gaghan,0.08411214953271028,0.953125
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately compassionately neo-hitchcockianism,0.09813084112149532,0.9496527777777778
compassionately compassionately hat-in-hand,0.15654205607476634,0.9496527777777778
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately kosminsky gaghan,0.10981308411214953,0.9461805555555556
compassionately kosminsky gaghan,0.10981308411214953,0.9461805555555556
compassionately enlivens gaghan,0.08411214953271028,0.953125
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
absorbing compassionately compassionately,0.06542056074766354,0.9756944444444444
compassionately explores compassionately,0.0794392523364486,0.9652777777777778
absorbing birot kosminsky,0.17990654205607476,0.9704861111111112
thought-provoking compassionately kosminsky,0.06775700934579439,0.9548611111111112
irrigates compassionately gaghan,0.13317757009345793,0.9548611111111112
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately compassionately neo-hitchcockianism,0.09813084112149532,0.9496527777777778
deeply compassionately neo-hitchcockianism,0.09345794392523364,0.9496527777777778
deeply compassionately neo-hitchcockianism,0.09345794392523364,0.9496527777777778
enlivens compassionately 2\/3,0.102803738317757,0.9479166666666666
enlivens life-at-arm without,0.19626168224299065,0.9548611111111112
enlivens delves thandie,0.1588785046728972,0.9513888888888888
enlivens compassionately thandie,0.10514018691588785,0.9513888888888888
enlivens compassionately rape-payback,0.1191588785046729,0.9513888888888888
enlivens compassionately rape-payback,0.1191588785046729,0.9513888888888888
enlivens compassionately rintarô,0.0794392523364486,0.9548611111111112
complexly compassionately rintarô,0.10046728971962617,0.9583333333333334
integrates compassionately egoyan,0.12149532710280374,0.953125
integrates compassionately egoyan,0.12149532710280374,0.953125
energized compassionately egoyan,0.10981308411214953,0.9618055555555556
enlivens compassionately avoid,0.11682242990654206,0.953125
enlivens compassionately rape-payback,0.1191588785046729,0.9513888888888888
enlivens compassionately compassionately,0.07009345794392523,0.9774305555555556
compassionately compassionately travails,0.11214953271028037,0.9548611111111112
thought-provoking enlivens tartakovsky,0.14485981308411214,0.9548611111111112
thought-provoking compassionately complaining,0.2219626168224299,0.9565972222222222
enlivens rohmer complaining,0.1308411214953271,0.9513888888888888
compassionately rohmer suffering,0.10046728971962617,0.9652777777777778
compassionately rohmer endure,0.10046728971962617,0.9635416666666666
compassionately enlivens endure,0.12149532710280374,0.953125
compassionately compassionately gaghan,0.08177570093457943,0.9444444444444444
compassionately kosminsky gaghan,0.10981308411214953,0.9461805555555556
